facility_id,facility_code,name,county,district,type,owner,nearest_town,beds,cots,open_24_hours,open_weekends,operational_status,latitude,longitude
0,19224,CDF Kiriari Dispensary,Embu,Manyatta,Dispensary,Ministry of Health,Kiriari -market,0,0,f,f,Operational,-0.533333,37.45
1,19310,St Jude's Huruma Community Health Services,Nairobi,Mathare,Medical Clinic,Private Practice - Unspecified,Kariobangi Market,0,0,f,f,Operational,-1.286389,36.817223
2,14180,10 Engineer VCT,Laikipia,Laikipia East,Dispensary,Armed Forces,Nanyuki,0,0,f,f,Operational,0.366667,37.033333
3,18393,3Kl Maternity & Nursing Home,Kajiado,Kajiado North,Nursing Home,Private Practice - Clinical Officer,Ongata Ronga,7,0,f,f,Operational,-1.85,36.783333
4,14181,3KR Health Centre,Nakuru,Nakuru,Health Centre,Armed Forces,Nakuru Town,20,12,f,f,Operational,-0.303099,36.080026
5,11917,78 Tank Battalion Dispensary,Isiolo,Isiolo,Dispensary,Armed Forces,Isiolo,7,2,f,f,Operational,0.35,37.583333
6,13043,7Kr Mrs Health Centre,Nairobi,Langata,Health Centre,Armed Forces,Lang'ata Shopping Center,14,0,f,f,Operational,-1.286389,36.817223
7,14182,8Th Street Clinic,Kajiado,Kajiado North,Medical Clinic,Private Enterprise (Institution),Isinya,0,0,f,f,Operational,-1.286389,36.817223
8,18137,A To Z Quality Health Family Health Services,Nakuru,Njoro,Medical Clinic,Private Practice - Nurse / Midwife,Njoro Centre,0,0,f,f,Operational,-0.303099,36.080026
9,20346,AAR Adams Health Centre,Nairobi,Kibra,Medical Clinic,Private Practice - General Practitioner,Adams,0,0,f,f,Operational,-1.286389,36.817223
10,12861,AAR City Centre Clinic,Nairobi,Starehe,Medical Clinic,Private Enterprise (Institution),Nairobi,0,0,f,f,Operational,-1.286389,36.817223
11,16796,AAR Clinic Sarit Centre (Westlands),Nairobi,Westlands,Medical Clinic,Private Enterprise (Institution),Nairobi,0,0,f,f,Operational,-1.286389,36.817223
12,18178,AAR Eldoret,Uasin Gishu,Eldoret West,Medical Clinic,Private Practice - General Practitioner,Eldoret,0,0,f,f,Operational,0.514277,35.269779
13,20405,AAR Health Care,Nairobi,Embakasi East,Health Centre,Private Practice - Medical Specialist,Donholm,6,2,f,f,Operational,-1.286389,36.817223
14,20956,AAR Health Care-Kisumu,Kisumu,Kisumu East,Medical Clinic,Private Practice - General Practitioner,Central Business District,0,0,f,f,Operational,-0.10221,34.761711
15,18859,AAR Healthcare Limited (Karen),Nairobi,Langata,Medical Clinic,Private Enterprise (Institution),Great Jubilee shopping  center,0,0,f,f,Operational,-1.286389,36.817223
16,20140,AAR Mountain mall,Nairobi,Roysambu,Medical Clinic,Private Practice - Nurse / Midwife,Rosters,0,0,f,f,Operational,-1.286389,36.817223
