facility_code,facility_name,county_name,district,facility_type,ownership,beds,cots,open_24_hours,open_weekends,operational_status,latitude,longitude
19224,CDF Kiriari Dispensary,Embu,Manyatta,Dispensary,Ministry of Health,0,0,f,f,Operational,-0.533333,37.45
19310,St Jude's Huruma Community Health Services,Nairobi,Mathare,Medical Clinic,Private Practice - Unspecified,0,0,f,f,Operational,-1.286389,36.817223
14180,10 Engineer VCT,Laikipia,Laikipia East,Dispensary,Armed Forces,0,0,f,f,Operational,0.366667,37.033333
18393,3Kl Maternity & Nursing Home,Kajiado,Kajiado North,Nursing Home,Private Practice - Clinical Officer,7,0,f,f,Operational,-1.85,36.783333
14181,3KR Health Centre,Nakuru,Nakuru,Health Centre,Armed Forces,20,12,f,f,Operational,-0.303099,36.080026
11917,78 Tank Battalion Dispensary,Isiolo,Isiolo,Dispensary,Armed Forces,7,2,f,f,Operational,0.35,37.583333
13043,7Kr Mrs Health Centre,Nairobi,Langata,Health Centre,Armed Forces,14,0,f,f,Operational,-1.286389,36.817223
14182,8Th Street Clinic,Kajiado,Kajiado North,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,-1.286389,36.817223
18137,A To Z Quality Health Family Health Services,Nakuru,Njoro,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.303099,36.080026
20346,AAR Adams Health Centre,Nairobi,Kibra,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-1.286389,36.817223
12861,AAR City Centre Clinic,Nairobi,Starehe,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,-1.286389,36.817223
16796,AAR Clinic Sarit Centre (Westlands),Nairobi,Westlands,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,-1.286389,36.817223
18178,AAR Eldoret,Uasin Gishu,Eldoret West,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,0.514277,35.269779
20405,AAR Health Care,Nairobi,Embakasi East,Health Centre,Private Practice - Medical Specialist,6,2,f,f,Operational,-1.286389,36.817223
20956,AAR Health Care-Kisumu,Kisumu,Kisumu East,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-0.10221,34.761711
18859,AAR Healthcare Limited (Karen),Nairobi,Langata,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,-1.286389,36.817223
20140,AAR Mountain mall,Nairobi,Roysambu,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-1.286389,36.817223
14183,AAR Nakuru Clinic,Nakuru,Nakuru,Dispensary,Non-Governmental Organizations,0,0,f,f,Operational,-0.303099,36.080026
21224,AAR Outpatient Center Donholm,Nairobi,Embakasi East,Medical Clinic,Private Practice - General Practitioner,4,2,f,f,Operational,-1.286389,36.817223
20940,AAR Thika out Patient Centre,Kiambu,Thika West,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-1.286389,36.817223
20848,African Muslim Agency Dispensary,Isiolo,Garbatula,Dispensary,Supreme Council for Kenya Muslims,0,0,f,f,Not-Operational,0.35,37.583333
20320,African Muslim Agency- Matsangoni,Kilifi,Kilifi North,Dispensary,Supreme Council for Kenya Muslims,0,0,f,f,Operational,-3.633333,39.85
12865,Afwan Medical Centre,Nairobi,Kamukunji,Nursing Home,Private Enterprise (Institution),40,4,f,f,Operational,-1.286389,36.817223
17335,Afwein Dispensary,Garissa,Lagdera,Dispensary,Ministry of Health,0,0,f,f,Operational,-0.456944,39.658333
17577,Afya Bora Clinic,Kirinyaga,Kirinyaga North,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-0.5,37.283333
11919,Afya Bora Clinic (Meru South),Tharaka Nithi,Meru South,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,,
17819,Afya Bora Clinic (Mutomo),Kitui,Mutomo,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-1.366667,38.016667
10011,Afya Bora Clinic (Mwea),Kirinyaga,Kirinyaga North,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,-0.5,37.283333
19966,Afya Bora Clinic Karia,Kiambu,Githunguri,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-1.166667,36.833333
19794,Afya Bora Health Clinic,Nyandarua,Nyandarua West,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.183333,36.366667
19662,Afya Bora Mc,Trans Nzoia,Trans Nzoia West,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,1.016667,34.983333
16411,Afya Bora Medical Clinic,Nakuru,Njoro,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,-0.303099,36.080026
16491,Afya Bora Medical Clinic (CFW Clinic Gichugu),Kirinyaga,Kirinyaga East,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.5,37.283333
11200,Afya Bora Medical Clinic (Malindi),Kilifi,Magarini,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-3.633333,39.85
21165,Afya Bora Medical Clinic (Mirangine),Nyandarua,Mirangine,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.183333,36.366667
10007,Afya Bora Medical Clinic (Muchagara),Kirinyaga,Kirinyaga East,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.5,37.283333
10008,Afya Bora Medical Clinic (Nyeri South),Nyeri,Nyeri Central,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-0.416667,36.95
14186,Afya Bora Medical Clinic (Turkana Central),Turkana,Turkana Central,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,3.116667,35.6
11201,Afya Clinic,Taita Taveta,Wundanyi,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,,
18486,Afya Health Care,Nairobi,Roysambu,Dispensary,Private Enterprise (Institution),0,0,f,f,Operational,-1.286389,36.817223
18067,Alpha Community Health Clinic (Migori),Migori,Migori,Medical Clinic,Private Practice - Nurse / Midwife,2,0,f,f,Operational,-1.066667,34.466667
19748,Alpha Dental Services,Trans Nzoia,Trans Nzoia West,Dental Clinic,Private Practice - Medical Specialist,0,0,f,f,Operational,1.016667,34.983333
10022,Alpha Family Health Care,Nyeri,Tetu,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.416667,36.95
16321,Alpha Medical Clinic,Samburu,Samburu Central,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,1.316667,36.983333
20992,Alpha Medical Clinic (Kambu),Makueni,Kibwezi,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-1.8,37.616667
19321,Alpha Medical Clinic (Koibatek),Baringo,Koibatek,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Not-Operational,0.466667,35.966667
19040,Alpha Medical Clinic Mile Tisa,Kajiado,Kajiado Central,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-1.85,36.783333
20831,Alphine Health Care Centre,Bungoma,Bungoma South,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,0.566667,34.566667
21149,Alphond Medical Centre,Kakamega,Mumias West,Medical Clinic,Private Practice - Clinical Officer,3,0,f,f,Operational,0.284767,34.752308
13473,Aluor Mission Health Centre,Siaya,Gem,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,0,0,f,f,Operational,0.066667,34.283333
15796,Amagoro Nursing Home,Busia,Teso North,Nursing Home,Private Enterprise (Institution),7,0,f,f,Operational,0.46,34.11
20684,Amaiga Dispensary (Manga),Nyamira,Manga,Dispensary,Ministry of Health,2,2,f,f,Operational,-0.633333,34.933333
14198,Amakuriat Dispensary,West Pokot,North Pokot,Dispensary,Other Faith Based,0,0,f,f,Operational,1.233333,35.116667
20213,Amalya Medical Centre,Kiambu,Kikuyu,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-0.303099,36.080026
18610,Atela Dispensary,Homa Bay,Rachuonyo South,Dispensary,Ministry of Health,0,6,f,f,Operational,-0.516667,34.45
13489,Atemo Health Centre,Homa Bay,Rachuonyo South,Health Centre,Christian Health Association of Kenya,10,1,f,f,Operational,-0.516667,34.45
10041,Athi Dispensary,Kiambu,Thika West,Dispensary,Ministry of Health,0,0,f,f,Operational,-1.033333,37.066667
11934,Athi Kamunyuni Dispensary,Makueni,Kibwezi,Dispensary,Ministry of Health,2,0,f,f,Operational,-1.8,37.616667
11935,Athi River Community Hospital,Machakos,Athi River,Medical Clinic,Private Enterprise (Institution),10,0,f,f,Operational,-1.516667,37.266667
11936,Athi River Health Centre,Machakos,Athi River,Health Centre,Ministry of Health,6,4,f,f,Operational,-1.516667,37.266667
11937,Athi River Medical Services,Machakos,Athi River,Maternity Home,Private Enterprise (Institution),26,0,f,f,Operational,-1.516667,37.266667
13295,Athibohol Dispensary,Wajir,Wajir West,Dispensary,Ministry of Health,0,0,f,f,Operational,1.75,40.066667
19185,Athirunjine Runjine Dispensary,Meru,Igembe Central,Dispensary,Ministry of Health,0,0,f,f,Operational,0.05,37.65
14220,Atiar Dispensary,Baringo,Baringo North,Dispensary,Community,0,0,f,f,Operational,0.466667,35.966667
10042,Atlas Medical Clinic,Nyeri,Nyeri South,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.416667,36.95
16866,Avarende Medical Clinic,Kakamega,Kakamega Central (Lurambi),Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,0.284767,34.752308
19462,Avenue Health Care (Makadara),Nairobi,Makadara,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-1.286389,36.817223
18817,Avenue Health Care Nakuru,Nakuru,Nakuru,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-1.286389,36.817223
19083,Avenue Health Care Ongata Rongai,Kajiado,Kajiado North,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-1.85,36.783333
20628,Avenue Healthcare Thika,Kiambu,Thika West,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-1.286389,36.817223
12874,Avenue Hospital,Nairobi,Westlands,Other Hospital,Private Enterprise (Institution),65,10,f,f,Operational,-1.286389,36.817223
20123,Avenue Hospital Kisumu,Kisumu,Kisumu East,Other Hospital,Private Enterprise (Institution),70,6,f,f,Operational,-0.10221,34.761711
13491,Awasi Mission Health Center,Kisumu,Nyando,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,12,1,f,f,Operational,-0.10221,34.761711
13492,Awendo Sub-District Hospital,Migori,Awendo,Sub-District Hospital,Ministry of Health,35,0,f,f,Operational,-1.066667,34.466667
14228,Baragoi Sub-District Hospital,Samburu,Samburu North,Sub-District Hospital,Ministry of Health,30,1,f,f,Operational,1.316667,36.983333
11942,Baragu Health Centre,Tharaka Nithi,Maara,Health Centre,Ministry of Health,5,2,f,f,Operational,,
10046,Baragwi Maternity Home,Kirinyaga,Kirinyaga East,Nursing Home,Private Enterprise (Institution),0,0,f,f,Not-Operational,-0.5,37.283333
11943,Baraka Afya Clinic,Embu,Manyatta,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,-0.533333,37.45
18841,Baraka Clinic (Lugari),Kakamega,Lugari,Medical Clinic,Private Practice - Nurse / Midwife,1,1,f,f,Not-Operational,0.284767,34.752308
18915,Baraka Dental Clinic (Maara),Tharaka Nithi,Maara,Medical Clinic,Private Practice - Medical Specialist,0,0,f,f,Operational,,
12881,Baraka Dispensary (Nairobi),Nairobi,Ruaraka,Dispensary,Private Enterprise (Institution),0,0,f,f,Operational,-1.286389,36.817223
17757,Baraka Health Centre,Narok,Narok South,Health Centre,Non-Governmental Organizations,2,0,f,f,Operational,-1.286389,36.817223
14230,Baraka Maternity Home,Nakuru,Nakuru,Maternity Home,Private Enterprise (Institution),25,12,f,f,Operational,-0.303099,36.080026
17426,Baraka Medical Clinic,Uasin Gishu,Wareng,Medical Clinic,Other Public Institution,0,0,f,f,Operational,0.514277,35.269779
16202,Baraka Medical Clinic (Lamu),Lamu,Lamu East,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-2.266667,40.9
19306,Baraka Medical Clinic (Makindu),Makueni,Makindu,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-1.8,37.616667
20260,Baraka Medical Clinic (Mbitini),Kitui,Kisasi,Medical Centre,Private Practice - Nurse / Midwife,4,0,f,f,Operational,-1.366667,38.016667
14229,Baraka Medical Clinic (Pokot Central),West Pokot,Pokot South,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,1.016667,34.983333
17882,Baraka Medical Clinic (Runyenjes),Embu,Embu East,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.533333,37.45
16693,Baraka Medical Clinic (Trans Nzoia East),Trans Nzoia,Trans Nzoia East,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,1.016667,34.983333
14231,Baraka Medical Clinic (Turkana Central),Turkana,Turkana Central,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,3.116667,35.6
11245,Baraka Medical Clinic (Vikwatani),Mombasa,Kisauni,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,-4.043477,39.668205
17027,Sitatunga Dispensary,Trans Nzoia,Trans Nzoia East,Dispensary,Ministry of Health,0,0,f,f,Operational,1.016667,34.983333
15597,Sitoi Tea Dispensary,Nandi,Nandi East,Dispensary,Company Medical Service,0,0,f,f,Operational,0.166667,35.133333
16147,Sivilie Dispensary,Kakamega,Kakamega Central (Lurambi),Dispensary,Ministry of Health,0,0,f,f,Operational,0.284767,34.752308
17536,Siwadhe Medical Clinic,Siaya,Siaya,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,0.066667,34.283333
15598,Siwo Dispensary,Nandi,Nandi East,Dispensary,Ministry of Health,0,0,f,f,Operational,0.166667,35.133333
15599,Siyiapei (AIC) Dispensary,Narok,Narok North,Dispensary,Christian Health Association of Kenya,3,0,f,f,Operational,-1.083333,35.866667
11775,Skans Health Care Centre,Mombasa,Kisauni,Nursing Home,Private Practice - Unspecified,9,0,f,f,Operational,-4.043477,39.668205
